rgn_id,sciname,iucn_sid,year,eval_yr,category
25,Dermochelys coriacea,46967873,1999,NA,NA
25,Eretmochelys imbricata,8005,1999,1996,CR
25,Isurus oxyrinchus,39341,1999,NA,NT
25,Isurus paucus,60225,1999,NA,VU
25,Lepidochelys olivacea,11534,1999,1996,EN
25,Orcaella brevirostris,15419,1999,NA,VU
25,Orcaella brevirostris,44557,1999,NA,CR
25,Prionace glauca,39381,1999,NA,NT
25,Rhincodon typus,19488,1999,NA,VU
25,Steno bredanensis,20738,1999,NA,LC
25,Balaenoptera musculus,2477,1998,1996,EN
25,Carcharhinus melanopterus,39375,1998,NA,NT
25,Cheilinus undulatus,4592,1998,1996,VU
25,Chelonia mydas,4615,1998,1996,EN
25,Dermochelys coriacea,6494,1998,1996,EN
25,Dermochelys coriacea,46967817,1998,NA,CR
25,Dermochelys coriacea,46967873,1998,NA,NA
25,Eretmochelys imbricata,8005,1998,1996,CR
25,Isurus oxyrinchus,39341,1998,NA,NT
25,Isurus paucus,60225,1998,NA,VU
25,Lepidochelys olivacea,11534,1998,1996,EN
25,Orcaella brevirostris,15419,1998,NA,VU
25,Orcaella brevirostris,44557,1998,NA,CR
25,Prionace glauca,39381,1998,NA,NT
25,Rhincodon typus,19488,1998,NA,VU
25,Steno bredanensis,20738,1998,NA,LC
25,Balaenoptera musculus,2477,1997,1996,EN
25,Carcharhinus melanopterus,39375,1997,NA,NT
25,Cheilinus undulatus,4592,1997,1996,VU
25,Chelonia mydas,4615,1997,1996,EN
25,Dermochelys coriacea,6494,1997,1996,EN
25,Dermochelys coriacea,46967817,1997,NA,CR
25,Dermochelys coriacea,46967873,1997,NA,NA
25,Eretmochelys imbricata,8005,1997,1996,CR
25,Isurus oxyrinchus,39341,1997,NA,NT
25,Isurus paucus,60225,1997,NA,VU
25,Lepidochelys olivacea,11534,1997,1996,EN
25,Orcaella brevirostris,15419,1997,NA,VU
25,Orcaella brevirostris,44557,1997,NA,CR
25,Prionace glauca,39381,1997,NA,NT
25,Rhincodon typus,19488,1997,NA,VU
25,Steno bredanensis,20738,1997,NA,LC
25,Balaenoptera musculus,2477,1996,1996,EN
25,Carcharhinus melanopterus,39375,1996,NA,NT
25,Cheilinus undulatus,4592,1996,1996,VU
25,Chelonia mydas,4615,1996,1996,EN
25,Dermochelys coriacea,6494,1996,1996,EN
25,Dermochelys coriacea,46967817,1996,NA,CR
25,Dermochelys coriacea,46967873,1996,NA,NA
25,Eretmochelys imbricata,8005,1996,1996,CR
25,Isurus oxyrinchus,39341,1996,NA,NT
25,Isurus paucus,60225,1996,NA,VU
25,Lepidochelys olivacea,11534,1996,1996,EN
25,Orcaella brevirostris,15419,1996,NA,VU
25,Orcaella brevirostris,44557,1996,NA,CR
25,Prionace glauca,39381,1996,NA,NT
25,Rhincodon typus,19488,1996,NA,VU
25,Steno bredanensis,20738,1996,NA,LC
25,Balaenoptera musculus,2477,1995,1994,EN
25,Carcharhinus melanopterus,39375,1995,NA,NT
25,Cheilinus undulatus,4592,1995,NA,VU
25,Chelonia mydas,4615,1995,1994,EN
25,Dermochelys coriacea,6494,1995,1994,EN
25,Dermochelys coriacea,46967817,1995,NA,CR
25,Dermochelys coriacea,46967873,1995,NA,NA
25,Eretmochelys imbricata,8005,1995,1994,EN
25,Isurus oxyrinchus,39341,1995,NA,NT
25,Isurus paucus,60225,1995,NA,VU
25,Lepidochelys olivacea,11534,1995,1994,EN
25,Orcaella brevirostris,15419,1995,NA,VU
25,Orcaella brevirostris,44557,1995,NA,CR
25,Prionace glauca,39381,1995,NA,NT
25,Rhincodon typus,19488,1995,NA,VU
25,Steno bredanensis,20738,1995,NA,LC
25,Balaenoptera musculus,2477,1994,1994,EN
25,Carcharhinus melanopterus,39375,1994,NA,NT
25,Cheilinus undulatus,4592,1994,NA,VU
25,Chelonia mydas,4615,1994,1994,EN
25,Dermochelys coriacea,6494,1994,1994,EN
25,Dermochelys coriacea,46967817,1994,NA,CR
25,Dermochelys coriacea,46967873,1994,NA,NA
25,Eretmochelys imbricata,8005,1994,1994,EN
25,Isurus oxyrinchus,39341,1994,NA,NT
25,Isurus paucus,60225,1994,NA,VU
25,Lepidochelys olivacea,11534,1994,1994,EN
25,Orcaella brevirostris,15419,1994,NA,VU
25,Orcaella brevirostris,44557,1994,NA,CR
25,Prionace glauca,39381,1994,NA,NT
25,Rhincodon typus,19488,1994,NA,VU
25,Steno bredanensis,20738,1994,NA,LC
25,Balaenoptera musculus,2477,1993,1990,EN
25,Carcharhinus melanopterus,39375,1993,NA,NT
25,Cheilinus undulatus,4592,1993,NA,VU
25,Chelonia mydas,4615,1993,1990,EN
25,Dermochelys coriacea,6494,1993,1990,EN
25,Dermochelys coriacea,46967817,1993,NA,CR
25,Dermochelys coriacea,46967873,1993,NA,NA
25,Eretmochelys imbricata,8005,1993,1990,EN
25,Isurus oxyrinchus,39341,1993,NA,NT
25,Isurus paucus,60225,1993,NA,VU
25,Lepidochelys olivacea,11534,1993,1990,EN
25,Orcaella brevirostris,15419,1993,NA,VU
25,Orcaella brevirostris,44557,1993,NA,CR
25,Prionace glauca,39381,1993,NA,NT
25,Rhincodon typus,19488,1993,NA,VU
25,Steno bredanensis,20738,1993,NA,LC
25,Balaenoptera musculus,2477,1992,1990,EN
25,Carcharhinus melanopterus,39375,1992,NA,NT
25,Cheilinus undulatus,4592,1992,NA,VU
25,Chelonia mydas,4615,1992,1990,EN
25,Dermochelys coriacea,6494,1992,1990,EN
25,Dermochelys coriacea,46967817,1992,NA,CR
25,Dermochelys coriacea,46967873,1992,NA,NA
25,Eretmochelys imbricata,8005,1992,1990,EN
25,Isurus oxyrinchus,39341,1992,NA,NT
25,Isurus paucus,60225,1992,NA,VU
25,Lepidochelys olivacea,11534,1992,1990,EN
25,Orcaella brevirostris,15419,1992,NA,VU
25,Orcaella brevirostris,44557,1992,NA,CR
25,Prionace glauca,39381,1992,NA,NT
25,Rhincodon typus,19488,1992,NA,VU
25,Steno bredanensis,20738,1992,NA,LC
